Start,Class,Series,Sequence,Excludable,Notes
26/04/2025 14:30:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Saturday Series 1
02/05/2025 19:15:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 1
03/05/2025 14:30:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Saturday Series 1
06/05/2025 19:15:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 1
10/05/2025 14:30:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Saturday Series 1
13/05/2025 19:35:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 1
17/05/2025 14:30:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Saturday Series 1
20/05/2025 19:15:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 1
24/05/2025 14:30:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Saturday Series 1
27/05/2025 19:45:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 2
03/06/2025 19:15:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 2
10/06/2025 19:15:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 2
17/06/2025 19:15:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 2
21/06/2025 14:30:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Saturday Series 2
24/06/2025 19:31:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 2
28/06/2025 14:30:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Saturday Series 2
01/07/2025 19:15:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 2
08/07/2025 19:15:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 3
12/07/2025 14:30:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Saturday Series 2
19/07/2025 14:25:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Saturday Series 3
22/07/2025 19:25:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 3
02/08/2025 10:35:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Saturday Series 3
05/08/2025 19:15:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 3
09/08/2025 10:35:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Saturday Series 3
12/08/2025 19:15:00,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Series 3
19/08/2025,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Mini
26/08/2025,Puppeteer Master,2025 Summer Series,5/4/1/go,TRUE,Tuesday Mini
