1463,HYC Feet Up Frostbite Series,e-sailing,/reshyc/2021/esailing_wed.htm
1464,esailing Spring Series,Thursday,/reshyc/2021/esailing_spring.htm
1465,esailing Countdown Series,Thursday,/reshyc/2021/esailing_countdown.htm
1474,Tuesday Series 1,Squib SCR,/reshyc/2021/club_tuesday_s1_squib_scr.htm
1475,Tuesday Series 1,Squib HPH,/reshyc/2021/club_tuesday_s1_squib_hph.htm
1476,Tuesday Series 1,Puppeteer Scr,/reshyc/2021/club_tuesday_s1_pup_scr.htm
1477,Tuesday Series 1,Puppeteer HPH,/reshyc/2021/club_tuesday_s1_pup_hph.htm
1478,Tues & Sat 17's Series 1,17's SCR,/reshyc/2021/club_tuesday_s1_17_scr.htm
1479,Tues & Sat 17's Series 1,17's HPH,/reshyc/2021/club_tuesday_s1_17_hph.htm
1480,Saturday Series 1,White Sails IRC,/reshyc/2021/club_saturday_s1_whitesails_irc.htm
1481,Saturday Series 1,White Sails HPH,/reshyc/2021/club_saturday_s1_whitesails_hph.htm
1482,Saturday Series 1,Puppeteer Scr,/reshyc/2021/club_saturday_s1_pup_scr.htm
1483,Saturday Series 1,Puppeteer HPH,/reshyc/2021/club_saturday_s1_pup_hph.htm
1484,Saturday Series 1,Squib SCR,/reshyc/2021/club_saturday_s1_squib_scr.htm
1485,Saturday Series 1,Squib HPH,/reshyc/2021/club_saturday_s1_squib_hph.htm
1486,Wednesday Series 1,Class 1 IRC,/reshyc/2021/club_wednesday_s1_class1_irc.htm
1487,Wednesday Series 1,Class 2 IRC,/reshyc/2021/club_wednesday_s1_class2_irc.htm
1488,Wednesday Series 1,Class 3 IRC,/reshyc/2021/club_wednesday_s1_class3_irc.htm
1489,Wednesday Series 1,Class 1 HPH,/reshyc/2021/club_wednesday_s1_class1_hph.htm
1490,Wednesday Series 1,Class 2 HPH,/reshyc/2021/club_wednesday_s1_class2_hph.htm
1491,Wednesday Series 1,Class 3 HPH,/reshyc/2021/club_wednesday_s1_class3_hph.htm
1492,Wednesday Series 1,White Sails HPH,/reshyc/2021/club_wednesday_s1_whitesails_hph.htm
1493,Wednesday Series 1,White Sails IRC,/reshyc/2021/club_wednesday_s1_whitesails_irc.htm
1511,Dinghy Thursdays,PY Fleet,/reshyc/2021/dinghy1_py.htm
1512,Tues & Sat.Series 2,H17 SCR,/reshyc/2021/club_tuesday_s2_17_scr.htm
1514,Tues & Sat.Series 2,H'17 HPH,/reshyc/2021/club_tuesday_s2_17_hph.htm
1515,Saturday Series 2,Puppeteer Scr,/reshyc/2021/club_saturday_s2_pup_scr.htm
1516,Saturday Series 2,Puppeteer HPH,/reshyc/2021/club_saturday_s2_pup_hph.htm
1517,Saturday Series 2,Squib SCR,/reshyc/2021/club_saturday_s2_squib_scr.htm
